YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1993,-0.7,-2.2,3.6,10.0,15.3,19.2,21.4,22.0,16.8,13.8,1.6,2.5,-1.4,9.6,20.9,10.7,9.97
1994,1.7,0.8,7.5,11.8,15.9,18.3,20.9,22.2,21.0,10.9,5.1,0.6,1.7,11.7,20.5,12.3,11.55
1995,-1.9,4.6,4.6,9.7,13.7,18.5,20.7,18.9,14.9,10.3,1.6,1.5,1.1,9.3,19.4,8.9,9.68
1996,-2.2,-2.0,-0.4,9.2,16.6,20.2,21.3,20.4,12.7,9.6,7.0,1.7,-0.9,8.5,20.6,9.8,9.49
1997,-0.2,2.1,3.4,5.1,16.0,19.5,20.0,18.1,14.6,8.0,5.1,0.1,1.2,8.2,19.2,9.2,9.45
1998,1.1,3.4,2.5,12.7,14.3,19.6,21.8,21.7,14.7,11.2,3.3,-4.1,1.5,9.8,21.0,9.7,10.53
1999,-0.9,-0.4,5.8,11.0,15.2,18.7,21.2,21.6,17.3,11.2,4.5,2.1,-1.8,10.7,20.5,11.0,10.09
2000,-4.5,1.2,5.2,12.8,16.3,19.4,22.8,22.6,15.7,10.8,8.7,2.3,-0.4,11.4,21.6,11.7,11.09
2001,0.8,1.8,9.8,9.5,15.1,17.6,21.9,22.3,16.7,13.0,4.0,-5.2,1.6,11.5,20.6,11.2,11.23
2002,-2.1,4.9,7.4,8.9,15.8,20.0,21.9,19.2,14.9,10.7,6.3,-0.3,-0.8,10.7,20.4,10.6,10.22
2003,0.2,-3.8,3.6,8.5,17.9,21.1,21.4,22.6,15.2,10.2,6.6,0.2,-1.3,10.0,21.7,10.7,10.27
2004,-2.3,1.9,5.4,11.4,13.4,18.4,20.8,20.1,17.1,12.8,6.1,1.9,-0.1,10.1,19.8,12.0,10.44
2005,0.6,-1.6,3.9,10.4,15.3,17.8,20.4,19.0,16.0,10.2,4.3,1.7,0.3,9.9,19.1,10.2,9.85
2006,-2.7,-0.4,5.0,11.0,15.3,18.0,20.4,20.6,16.5,12.0,5.4,0.4,-0.5,10.4,19.7,11.3,10.23
2007,4.4,3.8,6.8,11.5,16.6,20.7,23.7,21.2,14.5,10.6,2.8,-0.6,2.9,11.6,21.9,9.3,11.42
2008,-1.6,2.7,7.6,12.5,15.7,19.8,21.2,23.0,15.6,11.8,6.2,2.5,0.2,11.9,21.3,11.2,11.16
2009,-0.9,0.6,4.9,11.2,16.3,19.2,21.5,20.7,16.3,11.1,7.4,2.8,0.7,10.8,20.5,11.6,10.90
2010,0.1,1.6,5.5,10.5,15.7,18.6,21.2,22.5,16.3,8.6,10.2,0.6,1.5,10.6,20.8,11.7,11.13
2011,-1.4,0.0,5.0,9.8,14.8,19.1,21.9,21.4,19.3,9.2,2.6,1.3,-0.3,9.9,20.8,10.4,10.19
2012,-2.2,-3.8,6.5,11.9,14.8,21.5,25.0,22.8,18.9,13.8,7.6,-0.8,-1.6,11.1,23.1,13.4,11.51
2013,0.6,2.7,5.3,12.3,18.5,18.7,20.8,22.8,16.2,11.6,7.1,0.3,0.8,12.0,20.8,11.6,11.32
2014,0.9,5.0,7.9,10.6,14.4,18.2,20.4,21.2,15.8,11.2,6.2,1.7,2.1,11.0,19.9,11.1,11.01
2015,0.6,1.5,4.4,9.8,17.0,17.6,23.4,22.4,18.7,10.3,8.7,2.1,1.3,10.4,21.1,12.6,11.34
2016,-0.9,7.2,6.9,13.9,14.2,20.6,22.3,20.9,17.1,10.3,999.9,999.9,2.8,11.7,21.3,999.9,999.90
